BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,,,,,,,,,
transportation_v12.nlogo,,,,,,,,,,,,,,,,,
proofs-threshholds,,,,,,,,,,,,,,,,,
02/01/2025 09:58:18:046 -0500,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,149,0,149,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],[step],count people,(count people with [t-type = 1]) / (count people),(count people with [t-type = 2]) / (count people),(count people with [t-type = 3]) / (count people),"count people with [type-choice = ""repetition""]","count people with [type-choice = ""imitation""]","count people with [type-choice = ""deliberation""]","count people with [type-choice = ""inquiry""]",mean [satisfaction] of people with [t-type = 1],mean [satisfaction] of people with [t-type = 2],mean [satisfaction] of people with [t-type = 3],mean [satisfaction] of people,mean [uncertainty] of people with [t-type = 1],mean [uncertainty] of people with [t-type = 2],mean [uncertainty] of people with [t-type = 3],mean [uncertainty] of people
1,542,17112,0.558263207,0.311418887,0.130317906,10463,362,120,6167,0.394804869,0.43561207,0.556904738,0.428637517,0.332203641,0.4524147,0.524848416,0.394744699
1,572,17112,0.56130201,0.31171108,0.12698691,10476,344,139,6153,0.394010952,0.434602896,0.556603153,0.427310992,0.331327097,0.450525539,0.525634242,0.393157036
1,602,17112,0.562061711,0.313581113,0.124357176,10479,331,132,6170,0.39564941,0.43342528,0.556033689,0.427440145,0.328854512,0.450830587,0.527775003,0.391841096
1,632,17112,0.563873305,0.315042076,0.121084619,10485,309,118,6200,0.39266022,0.434135069,0.558309267,0.425784094,0.328322873,0.451058589,0.531052166,0.391537187
1,662,17112,0.564223936,0.315743338,0.120032726,10495,281,111,6225,0.391953623,0.431616076,0.557958503,0.424402796,0.326315744,0.450132978,0.532928711,0.390210528
1,692,17112,0.56527583,0.318373072,0.116351099,10505,273,111,6223,0.392066461,0.433160529,0.559566288,0.424638495,0.324239085,0.451157442,0.534366877,0.389095071
11,31,17112,0.368980832,0.25157784,0.379441328,10263,2249,428,4172,0.457564422,0.488340347,0.535371072,0.494830021,0.365251893,0.469092526,0.379951116,0.396953388
8,31,17112,0.369682094,0.251636279,0.378681627,10264,2259,421,4168,0.456718516,0.48856942,0.534829064,0.494312388,0.361620571,0.471659485,0.381968767,0.397015841
12,31,17112,0.369565217,0.251636279,0.378798504,10286,2334,380,4112,0.454733085,0.488990837,0.536245849,0.494230491,0.363520981,0.469535677,0.383155776,0.397635755
16,31,17112,0.369506779,0.251636279,0.378856942,10235,2376,417,4084,0.455758673,0.488252268,0.535798704,0.494258962,0.362927504,0.470070453,0.383657145,0.397742126
15,31,17112,0.369039271,0.251519402,0.379441328,10210,2319,387,4196,0.456656722,0.488207932,0.53585992,0.49464543,0.366749823,0.472334223,0.381313848,0.398832541
1,722,17112,0.565509584,0.319600281,0.114890136,10506,274,110,6222,0.391181388,0.431990311,0.558265186,0.423420211,0.322272728,0.451062031,0.536813004,0.388082387
1,752,17112,0.566970547,0.321353436,0.111676017,10513,265,92,6242,0.394769422,0.430932883,0.55967178,0.424806313,0.322441363,0.451911401,0.535501239,0.387840683
3,31,17112,0.369623656,0.251753156,0.378623188,10244,2381,417,4070,0.457453063,0.48852524,0.536289534,0.495124898,0.362551547,0.470474088,0.38293982,0.39744086
1,782,17112,0.567204301,0.323632539,0.10916316,10525,251,123,6213,0.391935062,0.430895597,0.559597588,0.42284653,0.320653425,0.450125647,0.537377909,0.386213178
24,31,17112,0.369273025,0.251811594,0.378915381,10200,2325,406,4181,0.455942922,0.489788246,0.535678402,0.494678567,0.364494389,0.468644617,0.382234169,0.397442499
14,31,17112,0.36944834,0.251694717,0.378856942,10260,2286,376,4190,0.45585291,0.488935616,0.535897947,0.494505271,0.364876086,0.468992253,0.383547007,0.398155183
1,812,17112,0.568139317,0.32556101,0.106299673,10531,237,112,6232,0.391679478,0.430702154,0.559650816,0.422239038,0.321120999,0.450841544,0.540595806,0.386683051
1,842,17112,0.568314633,0.327314165,0.104371201,10529,230,100,6253,0.39226961,0.42919025,0.559806998,0.421840337,0.319991059,0.450376585,0.544032358,0.386051548
10,31,17112,0.369156148,0.251753156,0.379090697,10266,2218,409,4219,0.455403832,0.488877699,0.535399654,0.494156655,0.364124416,0.469021361,0.383540949,0.39789318
1,872,17112,0.569132772,0.328599813,0.102267415,10533,222,97,6260,0.391628866,0.429208949,0.562405633,0.421442572,0.31904359,0.449179758,0.545757189,0.384991724
1,902,17112,0.569892473,0.330411407,0.09969612,10531,225,83,6273,0.390159259,0.429002417,0.56415661,0.420340342,0.317329936,0.449396537,0.549129828,0.384075797
1,932,17112,0.569308088,0.331755493,0.098936419,10535,195,116,6266,0.388307238,0.427928469,0.562437891,0.418679662,0.315694215,0.449094001,0.546641359,0.38279941
18,31,17112,0.369331463,0.251870033,0.378798504,10202,2348,414,4148,0.455677235,0.489653503,0.534977126,0.494273519,0.362360205,0.470183002,0.382744557,0.397239099
7,31,17112,0.369156148,0.251694717,0.379149135,10203,2296,446,4167,0.454959381,0.489190482,0.535244656,0.494015261,0.36209053,0.469060046,0.382266666,0.396663957
22,31,17112,0.369682094,0.251519402,0.378798504,10256,2285,372,4199,0.458819837,0.488109489,0.535790639,0.495343177,0.364304031,0.470424921,0.384104018,0.398495699
1,962,17112,0.571353436,0.332456755,0.096189808,10531,239,92,6250,0.389988271,0.427549187,0.563596725,0.419175015,0.31762398,0.448851349,0.551773284,0.383774182
20,31,17112,0.369156148,0.251811594,0.379032258,10246,2321,397,4148,0.457160658,0.488383253,0.536524747,0.495104419,0.364401738,0.471566732,0.382085467,0.39808983
17,31,17112,0.369565217,0.251694717,0.378740065,10279,2330,449,4054,0.45649991,0.486985281,0.536735913,0.494561506,0.362940576,0.469289263,0.381359146,0.396683829
23,31,17112,0.369156148,0.251753156,0.379090697,10247,2282,371,4212,0.456378292,0.488588701,0.536552189,0.494880543,0.362018608,0.470201144,0.384321934,0.397708886
19,31,17112,0.369039271,0.251636279,0.379324451,10258,2378,403,4073,0.456627283,0.487198294,0.53701822,0.494814307,0.363604273,0.468832351,0.382988629,0.397436435
1,992,17112,0.571353436,0.333625526,0.095021038,10540,204,128,6240,0.39012425,0.426913379,0.562620592,0.418788824,0.315269946,0.446634972,0.549996647,0.381400647
13,31,17112,0.369156148,0.251636279,0.379207574,10249,2301,436,4126,0.454446684,0.488526071,0.535806149,0.493874419,0.364369029,0.468308014,0.381446826,0.396999879
1,1022,17112,0.571353436,0.334911173,0.09373539,10547,203,123,6239,0.389427666,0.426451065,0.562254167,0.418027175,0.315930455,0.44662247,0.550526494,0.381690623
1,1052,17112,0.57199626,0.336196821,0.091806919,10551,208,103,6250,0.391247733,0.425644348,0.56222555,0.418508712,0.315288583,0.44669232,0.558462506,0.38179115
1,31,17112,0.369623656,0.251694717,0.378681627,10217,2327,467,4101,0.453792992,0.489295176,0.535181559,0.493549059,0.365015752,0.470450517,0.379973435,0.397217325
1,1082,17112,0.572054698,0.336664329,0.091280972,10561,174,108,6269,0.389383191,0.425574564,0.562182022,0.417340781,0.314315447,0.445150692,0.552683048,0.380121433
1,1112,17112,0.572171576,0.337891538,0.089936886,10561,181,107,6263,0.390040592,0.425178826,0.562711172,0.417442958,0.314048124,0.446805768,0.551885376,0.380296151
6,31,17112,0.368863955,0.25157784,0.379558205,10237,2266,381,4228,0.458104769,0.488382011,0.534992547,0.494905239,0.366616792,0.468798484,0.382187866,0.39823357
1,1142,17112,0.573281907,0.337540907,0.089177186,10566,173,98,6275,0.392394582,0.424316442,0.564666826,0.41853227,0.314116238,0.445902306,0.553992179,0.379990888
1,1172,17112,0.574275362,0.337248714,0.088475923,10566,169,100,6277,0.38964799,0.424965856,0.564595383,0.417037527,0.313435154,0.445974415,0.554753762,0.379484736
5,31,17112,0.369273025,0.251811594,0.378915381,10223,2319,422,4148,0.453880315,0.490885296,0.534271681,0.493660123,0.360722848,0.469785931,0.382812537,0.39655632
9,31,17112,0.369214586,0.251753156,0.379032258,10204,2294,397,4217,0.456784797,0.489383337,0.535681514,0.494895983,0.363607,0.470342001,0.383143556,0.397882858
2,31,17112,0.369623656,0.251753156,0.378623188,10261,2335,341,4175,0.455351276,0.489355278,0.536050032,0.494466311,0.362438863,0.469062258,0.385723993,0.398097929
1,1202,17112,0.573690977,0.338475923,0.0878331,10570,164,113,6265,0.388132724,0.425203642,0.563928757,0.416121048,0.312223176,0.446268789,0.553434366,0.378780715
1,1232,17112,0.573281907,0.339761571,0.086956522,10574,153,96,6289,0.389547266,0.424750256,0.564448499,0.416716692,0.312270777,0.446626035,0.554460865,0.378979538
1,1262,17112,0.57398317,0.340813464,0.085203366,10578,161,92,6281,0.389291902,0.424942086,0.565269448,0.416435844,0.311970999,0.445602128,0.555731436,0.378283497
1,1292,17112,0.574684432,0.341105657,0.084209911,10579,159,95,6279,0.392578831,0.423116313,0.565326557,0.41754241,0.311341826,0.445220802,0.555472162,0.377566896
1,1322,17112,0.574100047,0.342099112,0.083800842,10586,146,100,6280,0.389766846,0.424001873,0.564776138,0.416144544,0.310899589,0.445922467,0.553862499,0.377451292
4,31,17112,0.369506779,0.251636279,0.378856942,10257,2282,410,4163,0.458865286,0.487695489,0.535439949,0.495130853,0.364400471,0.469942597,0.382625798,0.39786349
1,1352,17112,0.574684432,0.342391304,0.082924264,10590,138,80,6304,0.391666785,0.423172508,0.565829217,0.416896362,0.31099986,0.445849429,0.557896948,0.377644939
1,1382,17112,0.573866293,0.34373539,0.082398317,10593,129,84,6306,0.387927346,0.423793991,0.565201646,0.414863085,0.309028034,0.446265589,0.557191123,0.376649659
21,31,17112,0.369915849,0.251811594,0.378272557,10313,2245,363,4191,0.456395447,0.488614359,0.535948144,0.494601145,0.36300999,0.470259495,0.382951368,0.397559935
1,1412,17112,0.573924731,0.344962599,0.081112669,10598,126,90,6298,0.390705926,0.423191184,0.566891948,0.416203044,0.309351919,0.445312393,0.559195691,0.376518693
8,61,17112,0.403517999,0.260752688,0.335729313,10210,1816,110,4976,0.436613785,0.470995573,0.537444418,0.479430728,0.35848229,0.47500235,0.415060487,0.407860168
1,1442,17112,0.572755961,0.345956054,0.081287985,10593,124,96,6299,0.387893025,0.423852278,0.565217318,0.414747681,0.308908032,0.445049922,0.561501752,0.376539978
16,61,17112,0.407784011,0.259408602,0.332807387,10190,1870,111,4941,0.435284335,0.470709308,0.53770122,0.478558974,0.360857995,0.474352935,0.418248297,0.409399475
12,61,17112,0.402173913,0.259408602,0.338417485,10246,1847,136,4883,0.436342353,0.471658855,0.536791539,0.479497518,0.363255,0.472943725,0.41270389,0.408443568
11,61,17112,0.394109397,0.262096774,0.343793829,10195,1841,143,4933,0.438941148,0.471853783,0.535847264,0.480883168,0.364653553,0.473007397,0.408643551,0.408176236
15,61,17112,0.399953249,0.260226741,0.339820009,10174,1844,113,4981,0.43494117,0.472473941,0.536791419,0.479318953,0.365421942,0.476646835,0.410968049,0.409843112
1,1472,17112,0.573223469,0.346423562,0.080352969,10595,141,71,6305,0.388210663,0.42426404,0.565997005,0.414986062,0.309773683,0.445291014,0.559196173,0.376761917
1,1502,17112,0.572580645,0.347475456,0.079943899,10596,134,93,6289,0.389515164,0.423218494,0.564689957,0.4152304,0.308304979,0.444909016,0.558091596,0.375740445
2,2,17112,0.369623656,0.251753156,0.378623188,0,0,0,0,0,0,0,0,0,0,0,0
2,32,17112,0.401764843,0.261570827,0.336664329,10261,2335,341,4175,0.465342002,0.49190993,0.531208541,0.494466311,0.363678972,0.461916788,0.38958849,0.398097929
24,61,17112,0.396856007,0.261570827,0.341573165,10177,1858,167,4910,0.43836783,0.471784813,0.536519281,0.48063464,0.362871335,0.472058537,0.411691751,0.408107266
3,61,17112,0.401472651,0.260811127,0.337716223,10193,1850,119,4950,0.436311275,0.471533917,0.537487411,0.479666554,0.361828773,0.47476275,0.413861984,0.40885567
14,61,17112,0.399719495,0.259992987,0.340287518,10221,1807,104,4980,0.435392452,0.472456291,0.536822175,0.479544059,0.364376503,0.472386542,0.413691517,0.40923964
10,61,17112,0.399777934,0.263207106,0.33701496,10197,1717,100,5098,0.437591442,0.47032179,0.536865758,0.479663232,0.362396247,0.472329205,0.41705651,0.409752709
17,61,17112,0.40626461,0.260811127,0.332924264,10232,1824,103,4953,0.43604603,0.469635553,0.538055087,0.478767842,0.362094715,0.472304008,0.416120462,0.408825007
2,62,17112,0.42443899,0.269927536,0.305633474,10222,1752,95,5043,0.444252721,0.474694238,0.531904931,0.479259174,0.360549131,0.464839709,0.424523439,0.40825272
2,92,17112,0.445827489,0.279336138,0.274836372,10278,1450,35,5349,0.436002891,0.468845835,0.536415549,0.472774163,0.355321603,0.464351074,0.435273475,0.407751157
22,61,17112,0.399310425,0.258122955,0.34256662,10223,1824,122,4943,0.435602848,0.473436469,0.536583351,0.479961124,0.362021216,0.475050627,0.41199575,0.408316309
2,122,17112,0.469202899,0.28798504,0.242812062,10311,1206,18,5577,0.428655877,0.462337789,0.540602694,0.465537801,0.352651708,0.462342504,0.448547976,0.407525787
2,152,17112,0.491058906,0.295465171,0.213475923,10339,993,35,5745,0.422141281,0.455505181,0.545211853,0.458271755,0.35193844,0.458146291,0.468105426,0.408118015
19,61,17112,0.399661057,0.265194016,0.335144928,10209,1835,111,4957,0.435979707,0.46979257,0.537659614,0.479024181,0.362249519,0.471438582,0.415497087,0.409051457
2,182,17112,0.507713885,0.302711547,0.189574568,10348,820,53,5891,0.41414684,0.450251465,0.549182479,0.45067545,0.349521304,0.45716157,0.487280937,0.408220979
18,61,17112,0.402933614,0.257947639,0.339118747,10150,1852,134,4976,0.434402378,0.472933482,0.536093608,0.478826788,0.36045406,0.475121295,0.414757631,0.408447562
