"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"..transportation_v12.tmp.tmp.nlogo"
"proofs-threshholds-policy"
"03/19/2025 22:57:29:821 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","[step]","count people","(count people with [t-type = 1]) / (count people)","(count people with [t-type = 2]) / (count people)","(count people with [t-type = 3]) / (count people)"
"15","2","17112","0.4177185600748013","0.23831229546517063","0.3439691444600281"
"17","2","17112","0.419588592800374","0.23807854137447404","0.34233286582515193"
"18","2","17112","0.41964703132304815","0.23755259467040674","0.3428003740065451"
"20","2","17112","0.4216339410939691","0.2369097709209911","0.34145628798503974"
"12","2","17112","0.42373772791023845","0.2366175783076204","0.3396446937821412"
"13","2","17112","0.4202314165497896","0.2373772791023843","0.3423913043478261"
"10","2","17112","0.4212833099579243","0.2371435250116877","0.34157316503038804"
"16","2","17112","0.4218092566619916","0.237260402057036","0.34093034128097244"
"11","2","17112","0.41929640018700326","0.23772791023842918","0.34297568957456753"
"14","2","17112","0.4179523141654979","0.23825385694249648","0.3437938288920056"
"19","2","17112","0.4226858345021038","0.23708508648901355","0.34022907900888266"
"9","2","17112","0.41812762973352036","0.23807854137447404","0.3437938288920056"
"3","2","17112","0.41713417484805987","0.23842917251051893","0.3444366526414212"
"5","2","17112","0.42350397381954186","0.23644226273959795","0.3400537634408602"
"7","2","17112","0.42426367461430575","0.2361500701262272","0.33958625525946706"
"6","2","17112","0.41917952314165496","0.23825385694249648","0.3425666199158485"
"1","2","17112","0.4219261337073399","0.2369097709209911","0.34116409537166903"
"8","2","17112","0.41999766245909304","0.23766947171575503","0.34233286582515193"
"4","2","17112","0.41888733052828425","0.23837073398784478","0.34274193548387094"
"22","2","17112","0.4204651706404862","0.23743571762505844","0.34209911173445534"
"25","2","17112","0.419588592800374","0.23761103319308088","0.3428003740065451"
"2","2","17112","0.41824450677886865","0.23860448807854137","0.34315100514259"
"21","2","17112","0.425958391771856","0.23544880785413744","0.3385928003740065"
"24","2","17112","0.4219261337073399","0.23696820944366526","0.34110565684899485"
"23","2","17112","0.42052360916316034","0.23772791023842918","0.34174848059841045"
"12","32","17112","0.5161874707807387","0.3055750350631136","0.17823749415614773"
"17","32","17112","0.5059607293127629","0.3123539036933146","0.1816853669939224"
"15","32","17112","0.5085320243104254","0.3077956989247312","0.18367227676484338"
"18","32","17112","0.5043244506778869","0.31200327255726973","0.18367227676484338"
"10","32","17112","0.511512388966807","0.30528284244974285","0.18320476858345022"
"20","32","17112","0.5141421224871435","0.3070359981299673","0.1788218793828892"
"13","32","17112","0.5070126227208976","0.30873071528751755","0.18425666199158486"
"16","32","17112","0.5088242169237962","0.30598410472183263","0.1851916783543712"
"9","32","17112","0.5086489013557737","0.3080294530154278","0.1833216456287985"
"11","32","17112","0.5074801309022908","0.30949041608228145","0.18302945301542778"
"3","32","17112","0.5082982702197288","0.30884759233286585","0.18285413744740533"
"19","32","17112","0.510752688172043","0.3070359981299673","0.1822113136979897"
"22","32","17112","0.5084151472650772","0.31311360448807857","0.17847124824684432"
"7","32","17112","0.5123889668069191","0.3067438055165965","0.18086722767648433"
"5","32","17112","0.5129733520336606","0.30475689574567555","0.18226975222066386"
"1","32","17112","0.5102267414679756","0.3069775596072931","0.1827956989247312"
"24","32","17112","0.509934548854605","0.3074450677886863","0.18262038335670874"
"4","32","17112","0.5044413277232351","0.3134642356241234","0.1820944366526414"
"21","32","17112","0.5160121552127163","0.302536231884058","0.1814516129032258"
"25","32","17112","0.5077138849929874","0.31007480130902293","0.1822113136979897"
"14","32","17112","0.5057269752220663","0.3070359981299673","0.18723702664796635"
"8","32","17112","0.5075970079476391","0.3069775596072931","0.1854254324450678"
"6","32","17112","0.5077723235156615","0.30586722767648433","0.18636044880785413"
"2","32","17112","0.511570827489481","0.30925666199158486","0.17917251051893407"
"23","32","17112","0.5110448807854138","0.31007480130902293","0.17888031790556336"
"12","62","17112","0.5182912575970079","0.33397615708274897","0.1477325853202431"
"17","62","17112","0.5177653108929406","0.328833567087424","0.15340112201963535"
"15","62","17112","0.5147849462365591","0.33146330060776064","0.15375175315568024"
"10","62","17112","0.5156030855539971","0.3290673211781206","0.15532959326788218"
"18","62","17112","0.5152524544179523","0.33473585787751287","0.15001168770453482"
"9","62","17112","0.517531556802244","0.3286582515194016","0.15381019167835436"
"20","62","17112","0.5161290322580645","0.3341514726507714","0.14971949509116408"
"13","62","17112","0.5145511921458625","0.333216456287985","0.15223235156615242"
"16","62","17112","0.5154277699859747","0.328015427769986","0.15655680224403928"
"11","62","17112","0.5136161757830762","0.33163861617578305","0.15474520804114072"
"3","62","17112","0.5157199625993455","0.33286582515194013","0.15141421224871435"
"19","62","17112","0.5166549789621319","0.3324567554932211","0.15088826554464704"
"22","62","17112","0.5187587657784011","0.33087891538101916","0.1503623188405797"
"7","62","17112","0.5207456755493222","0.3275479195885928","0.1517064048620851"
"1","62","17112","0.5142589995324918","0.33146330060776064","0.15427769985974754"
"24","62","17112","0.5207456755493222","0.32924263674614307","0.15001168770453482"
"4","62","17112","0.5166549789621319","0.33152173913043476","0.15182328190743338"
"5","62","17112","0.5182328190743338","0.3286582515194016","0.1531089294062646"
"23","62","17112","0.5170640486208509","0.33461898083216457","0.14831697054698456"
"8","62","17112","0.5165381019167835","0.33134642356241234","0.15211547452080412"
"21","62","17112","0.5192262739597943","0.3291841982234689","0.1515895278167368"
"25","62","17112","0.5177653108929406","0.3326320710612436","0.1496026180458158"
"2","62","17112","0.5153693314633007","0.33105423094904163","0.1535764375876578"
"6","62","17112","0.5130317905563347","0.3290673211781206","0.15790088826554466"
"14","62","17112","0.5109280037400654","0.33134642356241234","0.15772557269752221"
"12","92","17112","0.5272907900888265","0.3212949976624591","0.15141421224871435"
"17","92","17112","0.5236676016830295","0.32164562879850395","0.15468676951846658"
"10","92","17112","0.5217975689574568","0.3231650303880318","0.15503740065451146"
"15","92","17112","0.5246026180458158","0.3243922393641889","0.1510051425899953"
"9","92","17112","0.5215638148667602","0.32521037868162694","0.1532258064516129"
