"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"..transportation_v12.tmp.tmp.nlogo"
"proofs-threshholds-policies"
"03/20/2025 07:18:35:368 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","[step]","count people","(count people with [t-type = 1]) / (count people)","(count people with [t-type = 2]) / (count people)","(count people with [t-type = 3]) / (count people)"
"6","2","17112","0.4229195885928004","0.23655913978494625","0.3405212716222534"
"13","2","17112","0.4170757363253857","0.23848761103319308","0.3444366526414212"
"19","2","17112","0.419588592800374","0.2381369798971482","0.3422744273024778"
"3","2","17112","0.4234455352968677","0.23673445535296866","0.33982000935016365"
"17","2","17112","0.4223352033660589","0.2366175783076204","0.34104721832632073"
"20","2","17112","0.41964703132304815","0.23772791023842918","0.3426250584385227"
"5","2","17112","0.41976390836839644","0.2381369798971482","0.34209911173445534"
"15","2","17112","0.4202314165497896","0.23755259467040674","0.34221598877980364"
"11","2","17112","0.4202314165497896","0.23790322580645162","0.34186535764375875"
"12","2","17112","0.4209326788218794","0.2371435250116877","0.3419237961664329"
"8","2","17112","0.42028985507246375","0.23790322580645162","0.34180691912108463"
"14","2","17112","0.421166432912576","0.23720196353436185","0.34163160355306216"
"18","2","17112","0.4224520804114072","0.2371435250116877","0.3404043945769051"
"7","2","17112","0.42391304347826086","0.23620850864890136","0.3398784478728378"
"10","2","17112","0.42052360916316034","0.2373772791023843","0.34209911173445534"
"9","2","17112","0.41865357643758766","0.23842917251051893","0.3429172510518934"
"4","2","17112","0.4185951379149135","0.23854604955586722","0.34285881252921924"
"16","2","17112","0.42017297802711545","0.23761103319308088","0.34221598877980364"
"1","2","17112","0.41988078541374474","0.23766947171575503","0.34244974287050023"
"2","2","17112","0.4172510518934081","0.23866292660121552","0.34408602150537637"
"6","32","17112","0.49304581580177653","0.2926601215521272","0.2142940626460963"
"13","32","17112","0.4950911640953717","0.2938288920056101","0.21107994389901824"
"19","32","17112","0.4946236559139785","0.2956989247311828","0.20967741935483872"
"3","32","17112","0.49719495091164095","0.2911991584852735","0.21160589060308554"
"17","32","17112","0.49772089761570826","0.28979663394109395","0.21248246844319776"
"20","32","17112","0.4926367461430575","0.29640018700327253","0.21096306685366994"
"11","32","17112","0.4987727910238429","0.2974520804114072","0.20377512856474989"
"15","32","17112","0.49766245909303414","0.2966339410939691","0.20570359981299674"
"5","32","17112","0.4947405329593268","0.2959326788218794","0.20932678821879383"
"14","32","17112","0.49555867227676487","0.2947054698457223","0.20973585787751287"
"10","32","17112","0.4940977092099112","0.29476390836839644","0.2111383824216924"
"8","32","17112","0.4950911640953717","0.2967508181393174","0.2081580177653109"
"12","32","17112","0.49643525011687706","0.2920172978027116","0.2115474520804114"
"7","32","17112","0.496026180458158","0.290614773258532","0.21335904628330996"
"9","32","17112","0.4957339878447873","0.2937120149602618","0.2105539971949509"
"18","32","17112","0.49883122954651704","0.2916082281439925","0.20956054230949042"
"4","32","17112","0.49544179523141657","0.29394576905095837","0.21061243571762506"
"16","32","17112","0.4940977092099112","0.29908835904628334","0.20681393174380552"
"2","32","17112","0.49345488546049554","0.2948223468910706","0.21172276764843384"
"1","32","17112","0.4952664796633941","0.2924848059841047","0.21224871435250117"
"6","62","17112","0.5014025245441796","0.3215871902758298","0.17701028517999065"
"20","62","17112","0.5044413277232351","0.31848994857410007","0.1770687237026648"
"13","62","17112","0.4983637213651239","0.32100280504908835","0.18063347358578774"
"17","62","17112","0.5052594670406733","0.3155680224403927","0.17917251051893407"
"19","62","17112","0.5026297335203366","0.32000935016362786","0.17736091631603554"
"11","62","17112","0.5042660121552127","0.3236909770920991","0.17204301075268819"
"3","62","17112","0.5064866760168303","0.3188990182328191","0.17461430575035064"
"15","62","17112","0.5017531556802244","0.32421692379616646","0.17402992052360916"
"14","62","17112","0.5049088359046283","0.32147031323048153","0.17362085086489012"
"5","62","17112","0.5035063113604488","0.32071061243571763","0.17578307620383357"
"10","62","17112","0.5030972417017298","0.31983403459560544","0.1770687237026648"
"8","62","17112","0.5065451145395045","0.31948340345956056","0.173971482000935"
"12","62","17112","0.5021622253389434","0.31650303880317904","0.18133473585787752"
"7","62","17112","0.5057854137447405","0.3162108461898083","0.17800374006545114"
"4","62","17112","0.5042660121552127","0.31936652641421226","0.17636746143057502"
"9","62","17112","0.5014609630668536","0.3230481533426835","0.17549088359046283"
"18","62","17112","0.5072463768115942","0.31439925198690977","0.17835437120149603"
"2","62","17112","0.5047919588592801","0.32030154277699857","0.17490649836372135"
"16","62","17112","0.5059607293127629","0.32065217391304346","0.17338709677419356"
"1","62","17112","0.4999415614773259","0.31989247311827956","0.18016596540439458"
"6","92","17112","0.5084735857877513","0.32006778868630203","0.1714586255259467"
"20","92","17112","0.5101683029453016","0.3159186535764376","0.17391304347826086"
"17","92","17112","0.512330528284245","0.3155680224403927","0.1721014492753623"
"11","92","17112","0.5109280037400654","0.3235156615240767","0.16555633473585787"
"13","92","17112","0.5060191678354371","0.31872370266479666","0.17525712949976624"
"19","92","17112","0.511512388966807","0.3184315100514259","0.17005610098176718"
"15","92","17112","0.5074216923796167","0.32111968209443664","0.1714586255259467"
"14","92","17112","0.5097007947639084","0.3215287517531557","0.16877045348293596"
"3","92","17112","0.5108695652173914","0.31837307152875177","0.17075736325385693"
"10","92","17112","0.5126227208976157","0.3158017765310893","0.171575502571295"
"5","92","17112","0.5110448807854138","0.3173796166432913","0.171575502571295"
"8","92","17112","0.5119798971482001","0.3180224403927069","0.16999766245909304"
"12","92","17112","0.5106942496493688","0.3133473585787751","0.17595839177185602"
"7","92","17112","0.5156615240766713","0.31486676016830295","0.1694717157550257"
"4","92","17112","0.5105189340813464","0.32041841982234687","0.1690626460963067"
"2","92","17112","0.5082982702197288","0.31860682561944836","0.17309490416082282"
"9","92","17112","0.5101683029453016","0.3194249649368864","0.17040673211781207"
"18","92","17112","0.513148667601683","0.31445769050958394","0.17239364188873305"
"16","92","17112","0.509934548854605","0.3193080878915381","0.17075736325385693"
"1","92","17112","0.5109280037400654","0.3158017765310893","0.17327021972884527"
"6","122","17112","0.5130902290790089","0.3135226741467976","0.17338709677419356"
"20","122","17112","0.5108695652173914","0.3146914446002805","0.1744389901823282"
"17","122","17112","0.5146680691912109","0.3128214118747078","0.17251051893408134"
"11","122","17112","0.5170056100981767","0.3148083216456288","0.16818606825619448"
"13","122","17112","0.5073632538569425","0.3174964936886395","0.17514025245441794"
"15","122","17112","0.511161757830762","0.3170874240299205","0.17175081813931745"
"19","122","17112","0.5150187003272557","0.31498363721365125","0.16999766245909304"
"10","122","17112","0.5139083683964469","0.31399018232819076","0.1721014492753623"
"14","122","17112","0.5122136512388967","0.31872370266479666","0.1690626460963067"
"5","122","17112","0.5145511921458625","0.31428237494156147","0.17116643291257597"
"8","122","17112","0.5141421224871435","0.3181977559607293","0.16766012155212717"
"3","122","17112","0.5149602618045815","0.3119448340345956","0.17309490416082282"
"12","122","17112","0.5132071061243572","0.3109513791491351","0.17584151472650772"
"7","122","17112","0.5189925198690977","0.31375642823749417","0.16725105189340814"
"4","122","17112","0.5094670406732118","0.31638616175783074","0.17414679756895746"
"2","122","17112","0.5074216923796167","0.3166783543712015","0.17589995324918187"
"18","122","17112","0.5132071061243572","0.312879850397382","0.17391304347826086"
"9","122","17112","0.5096423562412342","0.3191912108461898","0.17116643291257597"
